title,year,publisher,structure,pages,reader_url,grounding,no_narration_short,hook,date_added,status
What If...? Dark: Carnage,2023,Marvel,one-shot,33,https://batcave.biz/reader/6934/36066,auto-fandom:5861,"verified-clean (only Knull-character clips, no full-story short)",Cortland Kasady bonds with the Carnage symbiote and serves Dormammu,2026-06-10,check-if-posted (has Stage4 logs 06-07/06-08)
Hallows' Eve: The Big Night,2023,Marvel,one-shot,25,https://batcave.biz/reader/32157/227996,sdk-web,verified-clean,Spider-villain Hallows' Eve and her terrifying big night,2026-06-10,queued
Star Wars: Age of Resistance - Kylo Ren,2019,Marvel/Star Wars,one-shot,22,https://batcave.biz/reader/5107/26765,wookieepedia/sdk-web,verified-clean,Kylo cements his standing in the First Order and kills a god-beast,2026-06-10,queued
DCeased: A Good Day to Die,2019,DC,one-shot,43,https://batcave.biz/reader/1550/8358,auto-fandom:475,"verified-clean (long-form only, no short)","Anti-Life apocalypse; Constantine, Booster Gold & Big Barda fight the plague",2026-06-10,queued
Batman: One Bad Day - Mr. Freeze,2022,DC,one-shot,64,https://batcave.biz/reader/646/3796,dc-wiki/sdk-web,verified-clean (reviews only),Tragic Mr. Freeze vs early Batman & Robin (oversized 64pg),2026-06-10,queued
Batman: One Bad Day - Two-Face,2022,DC,one-shot,74,https://batcave.biz/reader/650/3800,dc-wiki/sdk-web,verified-clean (reviews only),Two-Face tricks Batman into believing Harvey Dent is alive (oversized 74pg),2026-06-10,queued
Batman: One Bad Day - Bane,2023,DC,one-shot,69,https://batcave.biz/reader/643/3793,dc-wiki/sdk-web,verified-clean (only a single-moment short),Bane after Batman dies saving him (oversized 69pg),2026-06-10,queued
W0rldtr33,2023,Image,arc (ongoing),37,https://batcave.biz/reader/6495/33723,sdk-web,"verified-clean (only QuickFlip review shorts, no story narration)",The Undernet — a hidden layer of the internet unleashes digital horror (James Tynion IV),2026-06-10,queued
Phantom Road,2023,Image,arc (ongoing),30,https://batcave.biz/reader/4189/21454,sdk-web,verified-clean (reviews/trailers only),A long-haul trucker crosses into a nightmarish parallel dimension (Jeff Lemire),2026-06-10,queued
Nocterra,2021,Image,arc (ongoing),38,https://batcave.biz/reader/4013/20507,sdk-web,verified-clean (reviews only),A world plunged into eternal darkness; the dark turns the living into monstrous shades (Scott Snyder),2026-06-10,queued
A Walk Through Hell,2018,AfterShock,mini (12 issues),35,https://batcave.biz/reader/56/524,sdk-web,"clean of Shorts (a long-form saga recap exists, but no narration Short)",Two FBI agents trapped in a building that is a manifestation of pure evil (Garth Ennis),2026-06-10,queued
Bone Orchard Mythos,2022,Image,mini/arc,27,https://batcave.biz/reader/10576/69772,sdk-web,verified-clean (QuickFlip reviews only),Interconnected cosmic-horror mythos (Lemire/Sorrentino),2026-06-10,queued
Home Sick Pilots,2020,Image,mini (15 issues),31,https://batcave.biz/reader/17311/116546,sdk-web,verified-clean (review/trailer shorts only),A punk singer trapped inside a haunted house that walks across California as a mecha,2026-06-10,queued
That Texas Blood,2020,Image,arc (ongoing),32,https://batcave.biz/reader/5554/29030,sdk-web,verified-clean (review/description shorts only),Rural Texas sheriff noir crime (Condon/Phillips),2026-06-10,queued
Newburn,2021,Image,arc (ongoing),31,https://batcave.biz/reader/3970/20280,sdk-web,verified-clean (reviews/trailers only),A fixer-detective who works for every crime family in the city; noir (Zdarsky),2026-06-10,queued
A Righteous Thirst for Vengeance,2021,Image,mini (11 issues),29,https://batcave.biz/reader/45/483,sdk-web,"verified-clean (reviews/trailers + 1 promo short, no story narration)",An ordinary man uncovers a dark-web contract killer's plot and is pulled into a brutal cycle of vengeance (Rick Remender),2026-06-10,queued
"Hank Johnson, Agent of Hydra",2015,Marvel/Secret Wars,one-shot,22,https://batcave.biz/reader/16721/112672,marvel/sdk-web,"verified-clean (only Captain-Hydra clips, no story narration)",A comedic day-in-the-life of an ordinary Hydra office agent on Battleworld,2026-06-10,queued
Howard the Human,2015,Marvel/Secret Wars,one-shot,21,https://batcave.biz/reader/18339/126793,marvel/sdk-web,"verified-clean (results all = Howard the Duck, no story Short)",Inverse Howard the Duck — the only human in a world of funny-animals (noir),2026-06-10,queued
Secret Wars: Secret Love,2015,Marvel/Secret Wars,one-shot (anthology),32,https://batcave.biz/reader/24970/172207,marvel/sdk-web,verified-clean (only general Secret Wars videos),Romance anthology of Marvel couples on Battleworld,2026-06-10,queued
Mrs. Deadpool and the Howling Commandos,2015,Marvel/Secret Wars,mini (4 issues),20,https://batcave.biz/reader/22148/152497,marvel/sdk-web,verified-clean (only cover/art shorts),"Shiklah leads a squad of classic monsters (Dracula, Frankenstein, Werewolf) in the Monster Metropolis",2026-06-10,queued
A-Force,2015,Marvel/Secret Wars,mini (5 issues),22,https://batcave.biz/reader/7426/43727,marvel/sdk-web,verified-clean (no A-Force-specific recap/short found),"The all-female domain of Arcadia, ruled by She-Hulk, faces a breach in Battleworld",2026-06-10,queued
Inferno (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),22,https://batcave.biz/reader/18698/128600,marvel/sdk-web,verified-clean (only general Secret Wars overviews),Colossus fights to rescue his sister Illyana from a demon-overrun Limbo domain (dark),2026-06-10,queued
Planet Hulk (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),22,https://batcave.biz/reader/23402/161686,sdk-web,"verified-clean (shorts found are Greg Pak 2006 original or MCU hype, no SW2015 mini narration short)",Gladiator Steve Rogers + Devil Dinosaur venture into the Hulk-infested Greenland domain of Battleworld,2026-06-10,queued
Infinity Gauntlet (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),23,https://batcave.biz/reader/18734/128808,sdk-web,"verified-clean (only general Secret Wars and Black Panther gauntlet clips, no SW2015 mini narration short)",A family of survivors uses the Infinity Stones to fight back the zombie Nova swarms ravaging Battleworld,2026-06-10,queued
Civil War (Secret Wars),2015,Marvel/Secret Wars,mini (5 issues),38,https://batcave.biz/reader/11664/77408,sdk-web,verified-clean (Complete Story long-form exists but no narration short),The Civil War never ended; Battleworld's Iron Man vs Captain America domain torn apart for six years,2026-06-10,queued
Thors (Secret Wars),2015,Marvel/Secret Wars,mini (4 issues),23,https://batcave.biz/reader/29755/208738,sdk-web,"verified-clean (shorts found are MCU Thor speculation and Spanish review, no full-story narration short)",Thor Corps detectives investigate a serial killer targeting alternate-universe women across Battleworld (noir + hammers),2026-06-10,queued
House of M (Secret Wars),2015,Marvel/Secret Wars,mini (4 issues),21,https://batcave.biz/reader/18300/126207,sdk-web,verified-clean (no SW2015 House of M narration short found; only general HoM-event content),Magneto's mutant empire rules supreme on Battleworld but the Witch's secret threatens the House of Magnus,2026-06-10,queued
